timestamp,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInUcastPackets,ifOutUcastPackets
1709628900,3346.7717188,2712.3491922,0.0,0.0,4.4304954609,4.5434803937
1709629200,3452.2555338,3107.9470325,0.0,0.0,4.6769625352,4.9071569945
1709629500,3503.0245445,4293.9614656,0.0,0.0,5.8523843485,6.057394913
1709629800,3430.3080664,2881.8022207,0.0,0.0,4.6181060646,4.7327787664
1709630100,3317.7042585,2656.4534042,0.0,0.0,4.3476015804,4.473609335
1709630400,3395.1492257,2753.7891763,0.0,0.0,4.5849875716,4.6516469083
1709630700,16473.400657,15927.452479,0.0,0.0,49.950930211,50.140053706
1709631000,7327.4276255,7239.6325356,0.0,0.0,17.730756841,17.911252824
1709631300,5678.4453595,5072.0851161,0.0,0.0,12.500881628,12.596318528
1709631600,15185.611762,14699.082841,0.0,0.0,44.632220089,44.9114004
1709631900,9468.7915866,8816.9802914,0.0,0.0,25.771939421,25.866549757
1709632200,3704.8831541,3076.7032189,0.0,0.0,5.7659109387,5.8176233601
1709632500,3333.7702952,2676.4734836,0.0,0.0,4.3835452952,4.4991362205
1709632800,3389.047266,2745.5266452,0.0,0.0,4.4918728869,4.6026011759
1709633100,3346.1091231,3026.8219044,0.0,0.0,4.671182078,4.8952422829
1709633400,5900.8381237,5145.6174031,0.0,0.0,12.709561726,12.744051892
1709633700,3598.9359944,3228.7570856,0.0,0.0,5.1252525824,5.3540648017
1709634000,3445.2053573,3164.791134,0.0,0.0,4.7977621449,5.0288204888
1709634300,3378.0726627,2757.6995206,0.0,0.0,4.5035130791,4.6284313874
1709634600,3385.4508973,2739.7954931,0.0,0.0,4.4881077067,4.5921480223
1709634900,3312.5067325,2715.9905194,0.0,0.0,4.7218175736,4.7213598589
1709635200,3426.4962602,2766.9550953,0.0,0.0,4.5177502524,4.6426718184
1709635500,3337.5328075,2678.4475878,0.0,0.0,4.4347175474,4.5364276368
1709635800,3364.9805442,2730.2711381,0.0,0.0,4.5093570522,4.6447681128
1709636100,3548.1674426,4913.1601527,0.0,0.0,5.8079757904,6.2749872653
1709636400,3501.9664002,3645.1345201,0.0,0.0,4.9532826371,5.3318274944
1709636700,4337.5647919,3835.2190014,0.0,0.0,7.6995453284,7.8757948711
1709637000,3486.3442759,2830.5810852,0.0,0.0,4.6914793369,4.7603677329
1709637300,3298.6214746,2642.4874577,0.0,0.0,4.3192964453,4.3857982773
1709637600,3410.8366043,2770.970568,0.0,0.0,4.6868728878,4.7464453653
1709637900,3370.7173546,2716.0160783,0.0,0.0,4.5105008669,4.6310370217
1709638200,3380.4471592,2732.3889137,0.0,0.0,4.517308622,4.6248206605
1709638500,3324.8740472,2680.1447698,0.0,0.0,4.4683717852,4.584586524
1709638800,3440.4050681,2772.4981859,0.0,0.0,4.5674950193,4.6933541478
1709639100,3325.1595501,2665.6358339,0.0,0.0,4.4348640564,4.5208737719
1709639400,14383.825541,13747.97177,0.0,0.0,43.029851431,43.091031029
1709639700,4309.6673549,3643.555108,0.0,0.0,7.7333731983,7.8376952627
1709640000,3411.1457658,2750.4493889,0.0,0.0,4.5580824409,4.6478868889
1709640300,3325.0244447,2690.2346979,0.0,0.0,4.5463795029,4.6246507712
1709640600,3427.5102232,2762.2909127,0.0,0.0,4.5192067453,4.6205775967
1709640900,3324.3382853,2662.4774389,0.0,0.0,4.3660402547,4.4637042221
1709641200,3375.7145075,2740.0421226,0.0,0.0,4.5192371465,4.6033838621
1709641500,3385.1625119,2717.5423845,0.0,0.0,4.4857781065,4.5907148549
1709641800,3384.3822248,3053.6693611,0.0,0.0,4.5192644463,4.7581715559
1709642100,3297.6967112,2679.3715883,0.0,0.0,4.4264550152,4.529626163
1709642400,3425.0901649,2759.8976927,0.0,0.0,4.4618486935,4.6046622891
1709642700,5579.0856157,5351.1713079,0.0,0.0,12.046176662,12.342159075
1709643000,4743.3064435,4214.2928453,0.0,0.0,9.0051481168,9.0644606352
1709643300,3404.6762408,2758.9866282,0.0,0.0,4.7248380017,4.8065454659
1709643600,3370.5047141,2707.8123656,0.0,0.0,4.4855592459,4.5808625506
1709643900,3386.9384237,2751.5773644,0.0,0.0,4.6398793862,4.707770282
1709644200,3354.8245818,2705.1542465,0.0,0.0,4.4723138235,4.5620495925
1709644500,3338.1321284,2680.4583025,0.0,0.0,4.4278686481,4.5303448669
1709644800,3417.9567168,2810.2592816,0.0,0.0,4.6399445441,4.752386235
1709645100,3310.994504,2653.5783676,0.0,0.0,4.4269150655,4.5213847728
1709645400,3379.4785094,2727.3268348,0.0,0.0,4.4533176985,4.5468974584
1709645700,3363.7049394,2714.0331843,0.0,0.0,4.4988168941,4.581991729
1709646000,3444.9677999,3105.5101045,0.0,0.0,4.6485015186,4.873579137
1709646300,3330.9517357,3022.6246296,0.0,0.0,4.576154344,4.8192238071
1709646600,3439.028027,2827.0767604,0.0,0.0,4.7914657812,4.8021802433
1709646900,3433.0179471,3283.1276847,0.0,0.0,4.7722763085,5.052243573
1709647200,3386.6981303,2770.1747488,0.0,0.0,4.4740687958,4.6400654296
1709647500,10223.788963,10060.37064,0.0,0.0,28.152301676,28.426627248
1709647800,16542.939945,15901.295484,0.0,0.0,50.345281541,50.452779719
1709648100,4015.412529,3362.1263487,0.0,0.0,6.9261511803,7.0256823996
1709648400,3393.5198044,2757.9651633,0.0,0.0,4.5202081464,4.5974892114
1709648700,3409.0897785,3074.1010541,0.0,0.0,4.669408845,4.9109396683
1709649000,3356.1986136,2718.1745691,0.0,0.0,4.4106735022,4.5217969793
1709649300,3381.0075199,3060.7901115,0.0,0.0,4.7364566958,4.9231150715
1709649600,3470.4605653,2929.7143939,0.0,0.0,4.6104142941,4.7864991547
1709649900,3313.9221004,2663.7609215,0.0,0.0,4.4397136812,4.5408489284
1709650200,3409.4246277,2770.0765773,0.0,0.0,4.5473985254,4.6407453747
1709650500,3362.1294337,2698.8035989,0.0,0.0,4.4786177885,4.5878222616
1709650800,3357.8560288,2701.5318229,0.0,0.0,4.4062861065,4.5128206506
1709651100,3405.75278,3117.2165531,0.0,0.0,4.9585887946,5.0618412722
1709651400,3432.1817697,2793.5803349,0.0,0.0,4.5382115332,4.6357777705
1709651700,3279.3955398,2624.1612635,0.0,0.0,4.3357983679,4.4448150036
1709652000,3400.6100831,2761.4331354,0.0,0.0,4.5566802339,4.6853416084
1709652300,3372.6468554,2717.4796394,0.0,0.0,4.5558095983,4.6420098241
1709652600,3478.9284952,3104.1164813,0.0,0.0,4.8345818646,4.948442003
1709652900,9547.0245106,8913.6008944,0.0,0.0,26.118768831,26.290221157
1709653200,3777.2992059,3117.2471135,0.0,0.0,5.8457435948,5.9244887127
1709653500,3293.9718901,2641.9693875,0.0,0.0,4.4791698828,4.5525868324
1709653800,3444.4642836,2800.4389526,0.0,0.0,4.6988968474,4.7913498824
1709654100,3314.8731431,2664.4287717,0.0,0.0,4.3887178621,4.5161422431
1709654400,3413.1656567,2730.4836464,0.0,0.0,4.4635426868,4.5566050287
1709654700,3321.496055,2696.8915756,0.0,0.0,4.5281865898,4.6290450974
1709655000,13302.902891,12630.969911,0.0,0.0,39.064632513,39.118978378
